Imbalanced Loss	Imbalanced Acc.	Imbalanced GM.	Reversed Loss	Reversed Acc.	Reversed GM.	Weak Loss	Weak Acc.	Weak GM.	Strong Loss	Strong Acc.	Strong GM.	
0.455179	88.377724	0.691226	2.052763	53.712671	0.667877	1.283326	70.030000	0.671711	1.417390	50.680000	0.485276	
0.455076	88.660210	0.675928	2.288559	50.000000	0.659106	1.334131	69.400000	0.661113	1.459510	50.370000	0.452369	
0.443101	88.619855	0.701573	1.934653	55.851493	0.690200	1.211615	70.840000	0.685967	1.400567	51.700000	0.487800	
0.447651	88.781275	0.726863	1.964674	55.609362	0.698554	1.212982	70.940000	0.686221	1.410428	51.890000	0.469609	
0.456101	88.337369	0.725827	1.971176	56.012914	0.694180	1.212896	71.140000	0.689767	1.374218	52.600000	0.510323	
0.450597	88.983051	0.716119	2.229157	52.945924	0.689521	1.303318	70.260000	0.677148	1.386991	52.360000	0.490162	
0.462157	88.297014	0.718100	2.046146	55.851493	0.690770	1.268702	70.730000	0.684135	1.382301	51.680000	0.502598	
0.456191	88.781275	0.719722	2.115925	53.389831	0.683730	1.281314	69.880000	0.673727	1.402199	51.760000	0.471670	
0.456513	89.144471	0.715668	2.069136	54.479419	0.683072	1.258990	70.850000	0.683825	1.377434	52.810000	0.514157	
0.458121	89.265537	0.714218	2.257848	51.735270	0.674126	1.322259	69.750000	0.667583	1.443226	51.730000	0.457903	
0.464413	89.063761	0.709545	2.345144	52.259887	0.678501	1.328389	70.250000	0.674332	1.366144	52.360000	0.501488	
0.462725	88.861985	0.698025	2.345026	51.210654	0.681953	1.314477	70.720000	0.678736	1.449316	51.400000	0.445021	
0.460467	88.821630	0.696294	2.100752	54.842615	0.691074	1.263138	70.700000	0.682255	1.381934	52.200000	0.495102	
0.458154	88.619855	0.685506	2.245149	51.896691	0.680165	1.310108	69.700000	0.668057	1.441008	50.900000	0.451039	
0.460604	88.337369	0.682938	1.981454	55.609362	0.690811	1.249587	70.960000	0.685851	1.398350	52.230000	0.512158	
0.459936	88.861985	0.697569	2.162840	53.470541	0.691447	1.303175	70.010000	0.672617	1.502692	49.150000	0.423882	
0.454330	89.426957	0.685044	2.333596	53.107345	0.681837	1.353679	70.160000	0.671692	1.407775	51.490000	0.493331	
0.463862	89.023406	0.670053	2.369917	52.784504	0.682537	1.360911	69.850000	0.669290	1.482886	50.440000	0.448333	
0.467144	89.225182	0.706633	2.442916	53.188055	0.684465	1.375429	70.590000	0.679148	1.398342	52.400000	0.490428	
0.462675	89.184826	0.683883	2.475492	53.026634	0.689722	1.353813	70.520000	0.676835	1.457278	51.390000	0.464813	
0.462433	89.225182	0.694445	2.567359	52.502018	0.686625	1.398995	70.420000	0.676686	1.434840	52.170000	0.484229	
0.459253	89.063761	0.676396	2.437840	53.066989	0.691039	1.343199	70.830000	0.682842	1.480922	51.520000	0.453987	
0.450997	89.023406	0.725933	1.973303	57.183212	0.708484	1.214259	71.780000	0.696381	1.397792	52.140000	0.493376	
0.463467	88.740920	0.724836	1.898575	57.627119	0.709027	1.191198	72.390000	0.705091	1.426808	51.840000	0.472156	
0.468390	88.498789	0.731411	2.046770	56.093624	0.694942	1.270979	70.960000	0.684683	1.370187	53.800000	0.521880	
0.454263	88.619855	0.685224	2.126204	53.995157	0.690128	1.267593	70.380000	0.678286	1.487010	49.520000	0.430779	
0.451123	88.942696	0.712072	2.066955	54.963680	0.694214	1.241599	71.030000	0.687415	1.358328	53.340000	0.518351	
0.444336	89.104116	0.694335	2.216825	52.945924	0.685169	1.307316	70.100000	0.671750	1.411995	52.880000	0.491039	
0.448775	88.660210	0.673091	2.045930	54.923325	0.688261	1.234813	71.240000	0.688276	1.350119	53.940000	0.520557	
0.443669	88.942696	0.674256	2.078927	53.188055	0.683047	1.246882	70.860000	0.683310	1.438938	52.150000	0.461845	
0.447049	88.539144	0.692276	1.711043	59.362389	0.697681	1.162546	72.190000	0.702221	1.333206	54.020000	0.519993	
0.448374	88.821630	0.696653	1.861060	55.004035	0.691267	1.172441	71.700000	0.695931	1.506420	50.840000	0.430353	
0.442771	88.740920	0.692433	2.162690	53.349475	0.685759	1.239630	71.000000	0.684783	1.390920	52.960000	0.493074	
0.444149	89.265537	0.693561	2.446965	51.089588	0.679999	1.303564	70.960000	0.682494	1.438428	51.900000	0.468058	
0.440394	89.265537	0.693254	2.363214	52.582728	0.684564	1.276326	71.300000	0.688693	1.338669	53.760000	0.511621	
0.447660	89.184826	0.659822	2.544324	50.484261	0.678353	1.349331	70.640000	0.678371	1.419548	52.610000	0.473051	
0.438911	89.426957	0.691277	2.457842	52.259887	0.682266	1.302759	71.350000	0.688829	1.364213	53.850000	0.513240	
